도로형태,시간대,발생건수,사망자수,부상자수,중상,경상,부상신고
터널안,00시-02시,23,0,46,13,33,0
터널안,02시-04시,57,2,121,31,78,12
터널안,04시-06시,47,3,96,25,61,10
터널안,06시-08시,32,2,69,20,44,5
터널안,08시-10시,49,3,94,21,71,2
터널안,10시-12시,53,3,114,27,78,9
터널안,12시-14시,42,1,87,18,63,6
터널안,14시-16시,41,2,78,7,63,8
터널안,16시-18시,49,3,108,28,79,1
터널안,18시-20시,56,4,131,29,97,5
터널안,20시-22시,49,1,95,28,59,8
터널안,22시-24시,60,1,173,47,109,17
교량위,00시-02시,37,4,89,26,61,2
교량위,02시-04시,79,5,162,32,123,7
교량위,04시-06시,88,2,167,30,123,14
교량위,06시-08시,91,3,172,42,118,12
교량위,08시-10시,81,4,148,35,104,9
교량위,10시-12시,97,7,147,36,106,5
교량위,12시-14시,86,6,153,43,101,9
교량위,14시-16시,84,3,126,25,93,8
교량위,16시-18시,102,5,180,54,116,10
교량위,18시-20시,85,3,165,36,119,10
교량위,20시-22시,103,7,252,87,153,12
교량위,22시-24시,97,5,158,38,105,15
고가도로위,00시-02시,19,0,35,6,26,3
고가도로위,02시-04시,35,3,73,21,46,6
고가도로위,04시-06시,44,1,86,34,47,5
고가도로위,06시-08시,36,1,83,15,54,14
고가도로위,08시-10시,38,2,81,10,63,8
고가도로위,10시-12시,29,0,52,8,41,3
고가도로위,12시-14시,34,1,56,5,48,3
고가도로위,14시-16시,45,1,73,20,49,4
고가도로위,16시-18시,46,2,75,26,46,3
고가도로위,18시-20시,33,2,54,10,42,2
고가도로위,20시-22시,44,1,97,31,60,6
고가도로위,22시-24시,41,0,79,16,58,5
지하차도(도로)내,00시-02시,20,0,36,6,28,2
지하차도(도로)내,02시-04시,27,1,43,11,27,5
지하차도(도로)내,04시-06시,24,0,36,3,28,5
지하차도(도로)내,06시-08시,20,0,28,4,23,1
지하차도(도로)내,08시-10시,27,1,53,13,40,0
지하차도(도로)내,10시-12시,28,2,47,12,34,1
지하차도(도로)내,12시-14시,31,0,45,12,33,0
지하차도(도로)내,14시-16시,21,0,36,7,25,4
지하차도(도로)내,16시-18시,21,1,40,12,27,1
지하차도(도로)내,18시-20시,30,0,52,16,29,7
지하차도(도로)내,20시-22시,52,3,88,15,63,10
지하차도(도로)내,22시-24시,37,1,65,18,43,4
기타단일로,00시-02시,3398,83,5071,1242,3498,331
기타단일로,02시-04시,6611,160,9875,2353,6725,797
기타단일로,04시-06시,6251,165,9531,2372,6480,679
기타단일로,06시-08시,6450,148,9605,2291,6646,668
기타단일로,08시-10시,6580,142,9694,2355,6642,697
기타단일로,10시-12시,6836,171,9879,2385,6780,714
기타단일로,12시-14시,6520,150,9357,2375,6328,654
기타단일로,14시-16시,6904,184,9848,2497,6654,697
기타단일로,16시-18시,6825,158,9823,2438,6670,715
기타단일로,18시-20시,6747,186,9788,2381,6691,716
기타단일로,20시-22시,7014,192,10180,2495,6972,713
기타단일로,22시-24시,7091,177,10307,2494,7062,751
교차로내,00시-02시,2095,24,3379,827,2350,202
교차로내,02시-04시,4115,46,6562,1624,4525,413
교차로내,04시-06시,3952,53,6448,1622,4475,351
교차로내,06시-08시,4115,54,6482,1541,4516,425
교차로내,08시-10시,4106,54,6570,1587,4619,364
교차로내,10시-12시,4194,53,6507,1610,4464,433
교차로내,12시-14시,4218,45,6552,1600,4518,434
교차로내,14시-16시,4342,50,6667,1684,4585,398
교차로내,16시-18시,4274,56,6741,1661,4651,429
교차로내,18시-20시,4274,48,6690,1637,4658,395
교차로내,20시-22시,4357,50,6657,1621,4643,393
교차로내,22시-24시,4481,65,7014,1652,4912,450
교차로횡단보도내,00시-02시,220,5,226,103,113,10
교차로횡단보도내,02시-04시,403,7,454,193,238,23
교차로횡단보도내,04시-06시,414,9,461,193,248,20
교차로횡단보도내,06시-08시,487,13,521,226,266,29
교차로횡단보도내,08시-10시,431,12,451,195,226,30
교차로횡단보도내,10시-12시,460,10,489,214,252,23
교차로횡단보도내,12시-14시,468,10,499,220,247,32
교차로횡단보도내,14시-16시,471,14,502,228,255,19
교차로횡단보도내,16시-18시,480,15,514,236,250,28
교차로횡단보도내,18시-20시,486,19,518,228,261,29
교차로횡단보도내,20시-22시,500,14,530,242,259,29
교차로횡단보도내,22시-24시,459,18,491,219,248,24
교차로부근,00시-02시,1038,16,1648,336,1196,116
교차로부근,02시-04시,1961,28,3055,584,2290,181
교차로부근,04시-06시,1923,20,2950,547,2211,192
교차로부근,06시-08시,1943,26,3017,599,2243,175
교차로부근,08시-10시,1882,30,2905,591,2156,158
교차로부근,10시-12시,2071,22,3118,605,2340,173
교차로부근,12시-14시,1934,29,2912,607,2123,182
교차로부근,14시-16시,2071,29,3107,628,2319,160
교차로부근,16시-18시,2031,31,3113,606,2299,208
교차로부근,18시-20시,1996,20,3013,646,2188,179
교차로부근,20시-22시,2085,26,3213,631,2365,217
교차로부근,22시-24시,2198,32,3317,620,2517,180
주차장,00시-02시,54,0,68,10,54,4
주차장,02시-04시,72,0,95,21,68,6
주차장,04시-06시,74,1,101,24,74,3
주차장,06시-08시,80,0,102,28,65,9
주차장,08시-10시,75,1,83,18,56,9
주차장,10시-12시,82,0,98,15,75,8
주차장,12시-14시,69,1,88,16,70,2
주차장,14시-16시,73,0,92,20,68,4
주차장,16시-18시,66,0,75,17,57,1
주차장,18시-20시,74,1,89,9,78,2
주차장,20시-22시,91,0,106,24,78,4
주차장,22시-24시,83,1,95,23,67,5
철길건널목,12시-14시,1,1,0,0,0,0
철길건널목,16시-18시,1,0,2,0,2,0
기타,00시-02시,224,5,300,84,186,30
기타,02시-04시,422,8,560,147,366,47
기타,04시-06시,404,8,538,120,377,41
기타,06시-08시,428,8,555,161,364,30
기타,08시-10시,451,9,593,150,396,47
기타,10시-12시,425,7,573,139,402,32
기타,12시-14시,442,9,605,141,424,40
기타,14시-16시,465,3,691,151,465,75
기타,16시-18시,464,4,619,132,439,48
기타,18시-20시,436,9,565,142,383,40
기타,20시-22시,464,5,594,144,396,54
기타,22시-24시,532,9,732,173,501,58
불명,00시-02시,4,0,5,0,3,2
불명,02시-04시,11,1,20,4,16,0
불명,04시-06시,12,0,14,4,10,0
불명,06시-08시,8,0,9,2,3,4
불명,08시-10시,11,0,12,2,10,0
불명,10시-12시,15,0,20,4,16,0
불명,12시-14시,9,0,12,4,7,1
불명,14시-16시,16,1,17,8,8,1
불명,16시-18시,12,0,17,5,11,1
불명,18시-20시,13,2,18,6,12,0
불명,20시-22시,18,1,25,6,18,1
불명,22시-24시,10,0,10,3,6,1
